TUERCA HEXAGONAL MÉTRICA RC - AC. INOX 304,,,,,,,,,,
 , , 04, 05, 06, 08, 10, 12, 14, 16, 18
CÓD. I4M0220, ,Ø M4 $1.81,Ø M5 $2.69,Ø M6 $5.73,Ø M8 $12.24,Ø M10 $26.54,Ø M12 $40.07,Ø M14 $41.80,Ø M16 $85.60,Ø M18 $111.72
 ARANDELA PLANA MÉTRICA - AC. INOX 304, ,400 CTO ,250 CTO ,100 CTO ,50 CTO ,24 CTO ,15 CTO ,10 CTO ,8 CTO ,5 CTO 
 CÓD., ,04 Ø M4,05 Ø M5,06 Ø M6,08 Ø M8,10 Ø M10,12 Ø M12,14 Ø M14,16 Ø M16,18 Ø M18
I4M1220 , ,$0.96 700 CTO,$1.06 600 CTO,$1.65 300 CTO,$3.39 150 CTO,$6.31 70 CTO,$12.39 40 CTO,$16.67 30 CTO,$21.62 20 CTO,$27.48 18 CTO
ARANDELA PRESIÓN MÉTRICA - AC. INOX 304 , , 04, 05, 06, 08, 10, 12, 14, 16, 18
CÓD. I4M1420, ,Ø M4 $0.51,Ø M5 $0.83,Ø M6 $1.94,Ø M8 $3.63,Ø M10 $5.32,Ø M12 $8.94,Ø M14 $13.20,Ø M16 $20.31,Ø M18 $24.63
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), ,1000 CTO ,650 CTO ,200 CTO ,130 CTO ,80 CTO ,50 CTO ,40 CTO ,25 CTO ,22 CTO 
