REMACHE CIEGO PULGADA - AC. INOX 304,,,,,
 , , I4E9000, I4E9002, I4E9003, I4E9004
CÓD. 06,LARGO "3/8""","Ø 1/8""" $3.65,"Ø 5/32""" $8.80,"Ø 3/16""" $9.07,"Ø 1/4""" 
 08, "1/2""",60 CTO $4.58,CTO $9.43,30 CTO $11.21, $26.05
 10, "5/8""",60 CTO $4.96,30 CTO $10.56,30 CTO $11.80,25 CTO 
 12, "3/4""",60 CTO ,30 CTO $11.85,30 CTO $14.36, $26.16
 16, "1""", ,30 CTO $18.15,30 CTO $15.86,18 CTO 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , ,CTO ,15 CTO , 
