TUERCA HEXAGONAL PULGADA UNC - GR. 8 PAVONADA,,,,,,,
 , , 12, 14, 16, 20, 22, 26
CÓD. E0800, ,"Ø 3/4""" $28.33,"Ø 7/8""" $47.24,"Ø 1""" $69.63,"Ø 1 1/8""" $108.86,"Ø 1 1/4""" $155.26,"Ø 1 1/2""" $261.85
 ARANDELA PLANA ESTÁNDAR PULGADA TROPICALIZADA, ,5 CTO ,3 CTO ,2 CTO ,1 CTO ,1 CTO ,0.6 CTO 
 CÓD., ,12 "Ø 3/4""",14 "Ø 7/8""",16 "Ø 1""",20 "Ø 1 1/8""",22 "Ø 1 1/4""",26 "Ø 1 1/2"""
E1101 , ,$17.04 0 CTO,$21.81 0 CTO,$25.96 0 CTO,$67.35 0 CTO,$75.77 0 CTO,$101.03 0 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
