TUERCA HEXAGONAL MÉTRICA RC - AC. INOX 316,,,,,,,,,,
 , , 04, 05, 06, 08, 10, 12, 14, 16, 18
CÓD. I6M0200, ,Ø M4 ,Ø M5 ,Ø M6 $4.67,Ø M8 $10.79,Ø M10 $24.69,Ø M12 $35.38,Ø M14 ,Ø M16 $67.33,Ø M18 
 ARANDELA PLANA MÉTRICA - AC. INOX 316, , , ,100 CTO ,50 CTO ,24 CTO ,15 CTO , ,8 CTO , 
 CÓD., ,04 Ø M4,05 Ø M5,06 Ø M6,08 Ø M8,10 Ø M10,12 Ø M12,14 Ø M14,16 Ø M16,18 Ø M18
I6M1200 , , , ,$2.11 245 CTO,$4.21 165 CTO,$9.31 70 CTO,$15.62 40 CTO, ,$31.53 20 CTO, 
ARANDELA PRESIÓN MÉTRICA - AC. INOX 316 , , 04, 05, 06, 08, 10, 12, 14, 16, 18
CÓD. I6M1400, ,Ø M4 ,Ø M5 ,Ø M6 $2.32,Ø M8 $4.65,Ø M10 $6.97,Ø M12 $10.75,Ø M14 ,Ø M16 $24.97,Ø M18 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , ,300 CTO ,150 CTO ,80 CTO ,50 CTO , ,25 CTO , 
