TUERCA HEXAGONAL MÉTRICA RC - CL. 5.8 TROPICALIZADO,,,,,,
 , , 05, 06, 08, 10, 12
CÓD. M0203, ,Ø M5 $0.51,Ø M6 $1.10,Ø M8 $2.50,Ø M10 $5.35,Ø M12 $8.54
 ARANDELA PLANA ESTÁNDAR MÉTRICO RC - CL. 5.8 TROPICALIZADO, ,180 CTO ,120 CTO ,54 CTO ,21 CTO ,14 CTO 
 CÓD., ,05 Ø M5,06 Ø M6,08 Ø M8,10 Ø M10,12 Ø M12
M1209 , , ,$0.55 CTO,$0.96 CTO,$1.70 CTO,$3.14 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
