CABLE MM2 THW-90 (7 HILOS) - ROLLO DE 100 M.,,,,
 , , FCMM9015, FCMM9025, FCMM9040
CÓD. NE,COLOR NEGRO,#1.5 mm2 $43.62,#2.5 mm2 $70.38,#4.0 mm2 $115.25
 BL, BLANCO,RLL $43.62,RLL $70.38,RLL $115.25
 AM, AMARILLO,RLL $43.62,PZA $70.38,RLL $115.25
 AZ, AZUL,RLL $43.62,RLL $70.38,RLL $115.25
 RO, ROJO,RLL $43.62,RLL $70.38,RLL $115.25
 PRECIO DE VENTA POR ROLLO (INCLUYE IGV), ,RLL ,RLL ,RLL 
