TORNILLO CAB. WAFER ZINCADO,,,
 , , PUNTA FINA, PUNTA BROCA
CÓD. 13,DIM. 4.2 X 13,E8542 $9.56,E8642 $9.89
 16, 4.2 X 16,16 MLL $10.58,12 MLL $13.71
 19, 4.2 X 19,12 MLL $11.74,12 MLL $13.97
 25, 4.2 X 25,12 MLL $14.18,8 MLL $17.09
 32, 4.2 X 32,8 MLL $18.49,8 MLL $19.39
 38, 4.2 X 38,6 MLL $20.54,6 MLL $22.21
 PRECIO DE VENTA POR MILLAR (INCLUYE IGV), ,4 MLL ,8 MLL 
