TUERCA MÉTRICA PARA STOVE BOLT,,,
 M721103, M721104, M721105, M721106
Ø M3 $3.16,Ø M4 $6.91,Ø M5 $9.95,M6 $16.26
90 MLL PRECIO DE VENTA POR MILLAR (INCLUYE IGV),50 MLL ,30 MLL ,18 MLL 
