TACO DE EXPANSIÓN ESTRIADO PULGADA UNC,,,,,,
 D100004, D100005, D100006, D100008, D100010, D100012, D101006
"Ø 1/4""" $9.66,"Ø 5/16""" $10.31,"Ø 3/8""" $23.92,"Ø 1/2""" $43.72,"Ø 5/8""" $134.43,"Ø 3/4""" $197.60,"Ø 3/8""" $25.41
20 CTO PRECIO DE VENTA POR CIENTO (INCLUYE IGV),20 CTO ,10 CTO ,5 CTO ,2 CTO ,1 CTO ,15 CTO 
