TUERCA ESTRUCTURAL GALVANIZADO HDG - ASTM A325,,,,,,
 , , 08, 10, 12, 14, 16
CÓD. A1586, ,"Ø 1/2""" ,"Ø 5/8""" $32.89,"Ø 3/4""" $56.77,"Ø 7/8""" $80.57,"Ø 1""" $117.10
 ARANDELA PLANA GALVANIZADO HDG - ASTM A325, , ,5 CTO ,2.5 CTO ,2 CTO ,1.3 CTO 
 CÓD., ,08 "Ø 1/2""",10 "Ø 5/8""",12 "Ø 3/4""",14 "Ø 7/8""",16 "Ø 1"""
E1206 , , , ,$17.42 10 CTO,$27.77 8 CTO,$35.12 6 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
