TUERCA HEXAGONAL MÉTRICA RC - CL. 8 PAVONADA,,,,,,,,
 , , 18, 20, 22, 24, 27, 30, 08
CÓD. M0500, ,Ø M18 $20.72,Ø M20 $26.48,Ø M22 $31.92,Ø M24 $43.94,Ø M27 $72.22,Ø M30 $103.07,Ø M8 $2.86
 ARANDELA PLANA ESTÁNDAR MÉTRICA RC - CL. 8.8 TROPICALIZADA, ,5.5 CTO ,4.5 CTO ,3 CTO ,2.5 CTO ,1.8 CTO ,1.2 CTO ,54 CTO 
 CÓD., ,18 Ø M18,20 Ø M20,22 Ø M22,24 Ø M24,27 Ø M27,30 Ø M30,08 Ø M8
M1209 , ,$8.24 CTO,$9.59 CTO,$8.93 CTO,$16.47 CTO,$22.09 CTO,$28.30 CTO,$0.96 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
