"TUERCA HEXAGONAL
 PULGADA ZINCADA - GR. 2", , , 
 CÓD., ,0304 "Ø 1/4""",0304 "Ø 1/4"""
E02 , ,$1.55 80 CTO,$1.55 80 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,
