PERNO SOCKET BUTTON MÉTRICO RC - AC. INOX 304,,,,,,,,
 , , I4M4003, I4M4004, I4M4005, I4M4006, I4M4008, I4M4010, I4M4012
CÓD. 02,LARGO 10,Ø M3 $2.14,Ø M4 $3.56,Ø M5 $5.92,Ø M6 $6.61,Ø M8 ,Ø M10 ,Ø M12 
 03, 16,400 CTO $2.83,160 CTO $4.45,120 CTO $7.89,75 CTO $9.12, $17.79, , 
 04, 20,250 CTO $3.53,150 CTO $5.64,90 CTO $9.30,65 CTO $10.48,10 CTO $20.67, , 
 05, 25,200 CTO ,120 CTO ,80 CTO $11.00,55 CTO $12.31,30 CTO $24.24, $47.08, 
 06, 30, , ,65 CTO ,45 CTO $15.32,20 CTO $28.71,CTO $47.08, $124.73
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , ,40 CTO ,20 CTO ,CTO ,CTO 
