PERNO SOCKET MÉTRICO CAB. BUTTON RC - CL. 10.9,,,,,,,
 , , M4003, M4004, M4005, M4006, M4008, M4010
CÓD. 05,LARGO 10,Ø M3 $3.86,Ø M4 $7.02,Ø M5 $4.67,Ø M6 $4.58,Ø M8 ,Ø M10 
 06, 12,CTO $4.50,130 CTO $7.78,80 CTO $5.07,60 CTO $5.03, , 
 08, 16,250 CTO $5.14,130 CTO $8.98,75 CTO $6.23,55 CTO $6.10, $8.48, $37.00
 10, 20,170 CTO ,100 CTO $10.03,55 CTO $7.28,40 CTO $7.16,20 CTO $9.85,CTO 
 12, 25, ,75 CTO ,50 CTO ,35 CTO $8.53,20 CTO $11.45, $19.82
 15, 30, , , ,30 CTO ,15 CTO $13.15,9 CTO $23.12
 20, 40, , , , ,14 CTO ,7 CTO $27.90
 25, 50, , , , $14.77, ,6 CTO 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , , ,CTO , , 
