TARUGO PLÁSTICO,,,,
 V100006, V100007, V100008, V100010, V100012
ROJO "7/32"" X 1""",VERDE "1/4"" X 1 3/8""",AZUL "5/16"" X 1 3/8""",NARANJA "3/8"" X 2""",GRIS "1/2"" X 2 1/2"""
Ø M6 $0.73,Ø M7 $0.86,Ø M8 $1.29,Ø M10 $1.45,Ø M12 $3.20
10 CTO PRECIO DE VENTA POR CIENTO (INCLUYE IGV),10 CTO ,10 CTO ,10 CTO ,5 CTO 
