ARANDELA DE NEOPRENO PULGADA,,,
 E680008, E680010, E680012, E680014
#8 $0.70,#10 $0.87,#12 $1.16,#14 $1.49
180 CTO PRECIO DE VENTA POR CIENTO (INCLUYE IGV),100 CTO ,80 CTO ,80 CTO 
