PERNO ESTRUCTURAL GALVANIZADO HDG - ASTM A325,,,,,,
 , , E2108, E2110, E2112, E2114, E2116
CÓD. 06,LARGO "1 1/2""","Ø 1/2""" $32.44,"Ø 5/8""" $54.13,"Ø 3/4""" ,"Ø 7/8""" ,"Ø 1""" 
 07, "1 3/4""",0 CTO $36.14,2 CTO , $90.72, , 
 08, "2""",4 CTO , $64.46,1.5 CTO , , 
 09, "2 1/4""", ,2.25 CTO $69.54, $107.23, $145.20, 
 10, "2 1/2""", ,2 CTO $75.31,1.35 CTO $115.68,0.5 CTO $162.43, $213.24
 11, "2 3/4""", ,1.5 CTO ,1 CTO $123.66,0.5 CTO $174.07,0.65 CTO $233.79
 12, "3""", , ,1 CTO $130.51,0.5 CTO ,0.6 CTO $249.77
 16, "4""", , ,1.1 CTO $164.26, ,0.58 CTO $304.02
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , ,0.5 CTO , ,0.4 CTO 
