PERNO HEXAGONAL MÉTRICO RF - CL. 8.8 PAVONADO,,,,,,,,,,
 , , M2508, M2560, M2510, M2562, M2512, M2514, M2516, M2518, M2520
CÓD. 16,LARGO 80,M8 X 1.00 ,M10 X 1.00 ,M10 X 1.25 $41.57,M12 X 1.25 ,M12 X 1.50 $51.41,M14 X 1.50 ,M16 X 1.50 ,M18 X 1.50 $154.84,M20 X 1.50 $194.04
 18, 90, , ,4.5 CTO $45.58, $55.70,3 CTO $56.38, $79.95, ,1.3 CTO ,0.9 CTO 
 20, 100, , ,4 CTO $51.15,2.75 CTO $61.22,2.8 CTO ,2 CTO $89.18, $132.86, $201.71, $239.84
 22, 110, , ,3 CTO ,2.5 CTO , ,1.83 CTO $94.91,1.4 CTO $143.54,1 CTO ,0.8 CTO 
 24, 120, , , $59.48, $72.51, $69.77,1.6 CTO $101.57,1.3 CTO , $224.06, $265.08
 26, 130, , ,3 CTO $60.62,2 CTO ,1.9 CTO ,1.5 CTO $101.69, ,0.9 CTO ,0.5 CTO 
 30, 150, , ,2.5 CTO $68.48, , $88.74,1.45 CTO $118.00, $180.50, $281.96, $318.55
 36, 180, , ,2 CTO $84.76, ,1.8 CTO ,1.25 CTO ,1 CTO ,0.75 CTO ,0.6 CTO 
 PRECIO DE VENTA POR CIENTO (INCLUYE IGV), , , ,2.2 CTO , , , , , , 
