"COMPLEMENTOS DE LÍNEA","","","",""
"","EXTRA","","",""
"RECTA 45° 90°","","PURGADOR","",""
"","LARGA","","",""
"","","Imagen referencial","",""
"GRASERA RECTA","GRASERA 45°","","",""
"EMP.","EMP.","","",""
"CÓDIGO ROSCA CÓDIGO","ROSCA","","",""
"(uds.) CAJA P. V.","(uds.)","CAJA","P. V.",""
"N150400 1/4"" NF 4000 40 CTO $7.47 N150445","1/4"" NF 3000","30 CTO","$19.61",""
"N150500 5/16"" NF 4000 40 CTO $11.46 N150545","5/16"" NF 3000","30 CTO","$21.64",""
"N150600 3/8"" NF 3000 30 CTO $17.87 N150645","3/8"" NF 2500","25 CTO","$29.44",""
"N130600 M 6 x 1.00 4000 40 CTO $7.59 N130645","M 6 x 1.00 3000","30 CTO","$19.59",""
"N130800 M8 x 1.00 4000 40 CTO $11.94 N130845","M8 x 1.00 3000","30 CTO","$21.89",""
"N131000 M10 x 1.00 4000 40 CTO $14.81 N131045","M10 x 1.00 2500","25 CTO","$18.41",""
"N140200 1/8"" NPT 4000 40 CTO $26.56 N140245","1/8"" NPT 2400","24 CTO","$18.70",""
"N140400 1/4"" NPT 2000 20 CTO $30.92 N140445","1/4"" NPT 1000","10 CTO","$45.23",""
"1/4"" NF EXTRA","PRECIO DE VENTA POR CIENTO (INC. IGV)","","",""
"N150495 LARGA 800","","","",""
"P./CARDÁN 8 CTO $13.23","","","",""
"PRECIO DE VENTA POR CIENTO (INC. IGV)","","","",""
"GRASERA 90°","PURGADOR","","",""
"EMP.","EMP.","","",""
"CÓDIGO ROSCA CÓDIGO","ROSCA","","",""
"(uds.) CAJA P. V.","(uds.)","CAJA","P. V.",""
"N150490 1/4"" NF 3000 30 CTO $19.61 N240630","M6 X 1.00 X 30 800","8 CTO","$68.52",""
"N150590 5/16"" NF 3000 30 CTO $20.61 N240731","M7 X 1.00 X 31 800","8 CTO","$68.52",""
"N150690 3/8"" NF 2500 25 CTO $28.21 N242828","M8 X 1.00 X 28 800","8 CTO","$68.52",""
"N130690 M 6 x 1.00 3000 30 CTO $18.51 N242831","M8 X 1.00 X 31 700","7 CTO","$68.52",""
"N130890 M8 x 1.00 3000 30 CTO $21.43 N240831","M8 X 1.25 X 31 800","8 CTO","$68.52",""
"N131090 M10 x 1.00 2500 25 CTO $20.71 N245036","M10 X 1.00 X 36 500","5 CTO","$68.52",""
"N140290 1/8"" NPT 2400 24 CTO $21.43 N241036","M10 X 1.50 X 36 500","5 CTO","$68.52",""
"N140490 1/4"" NPT 1000 10 CTO $47.65 N246527","5/16"" -24 X 27 700","7 CTO","$68.52",""
"PRECIO DE VENTA POR CIENTO (INC. IGV) N246629","3/8""-24 X 29 500","5 CTO","$68.52",""
"N246637","3/8""-24 X 37 350","3.5 CTO","$68.52",""
"N246737","7/16"" -24 X 37 400","4 CTO","$68.52",""
"","PRECIO DE VENTA POR CIENTO (INC. IGV)","","",""
"Índice www.dina.com.pe","","","","133"
