"","","PERNO CALIPER"
"AC0C000007","Marca: Mitsubishi, Nissan","AC0C000001 Marca: Mitsubishi."
"","Modelo: ASX, Galant, Lancer,","Modelo: ASX, Colt, Lancer,"
"","Outlander - AD, Bluebird, Cube,","Mirage, Montero, Outlander,"
"","March, Tiida, Versa, Wingroad","Pajero"
"","Ubicación: Caliper posterior","Ubicación: Caliper delantero"
"","Posición: Superior","Posición: Inferior"
"","Grado SAE: Clase 10.9","Grado SAE: Clase 10.9"
"","Dim.: Ø9.8 x 81 mm. c/rca.","Dim.: Ø9.8 x 87 mm. c/rca."
"","EMP.","EMP."
"","CAJA P. V.","CAJA P. V."
"","(uds.)","(uds.)"
"","10 250 PZA $1.96","10 250 PZA $2.14"
"Imagen referencial","PRECIO DE VENTA POR UNIDAD","Imagen referencial PRECIO DE VENTA POR UNIDAD"
"AC0C000002","Marca: Mitsubishi.","AC0C000006 Marca: Mitsubishi."
"","Modelo: ASX, Colt, Galant,","Modelo: ASX, Galant, Grandis,"
"","Lancer, Montero, Outlander,","Lancer, Outlander"
"","Pajero","Ubicación: Caliper posterior"
"","Ubicación: Caliper delantero","Posición: Superior"
"","Posición: Superior","Grado SAE: Clase 10.9"
"","Grado SAE: Clase 10.9","Dim.: Ø9.7 x 83 mm. c/rca."
"","Dim.: Ø9.8 x 88mm. c/rca.",""
"","EMP.","EMP."
"","CAJA P. V.","CAJA P. V."
"","(uds.)","(uds.)"
"","10 250 PZA $2.14","10 250 PZA $2.04"
"Imagen referencial","PRECIO DE VENTA POR UNIDAD","Imagen referencial PRECIO DE VENTA POR UNIDAD"
"AC0A000003","Marca: Mitsubishi, Nissan","Marca: Ford, Mazda, Mitsubishi,  NissanAC0A000007"
"","Modelo: L200, Montero, Nativa,","Modelo: Ranger - BT50 - L200 -  200SX,"
"","","240SX, 350X, AD, Almera, Altima, Bluebird,"
"","Pajero, Triton - Frontier, NV200,","Frontier, Juke, Maxima, NP300, Pathfinder,"
"","Pathfinder, Xterra","Patrol, Primera, Pulsar, Sentra, Sunny,"
"","Ubicación: Caliper delantero","Terrano, Tiida, Urvan, Versa, Wingroad"
"","Grado SAE: Clase 10.9","Ubicación: Caliper posterior"
"","","Grado SAE: Clase 10.9"
"","Dim.: Ø9.9 x 66 mm. c/pno.",""
"","","Dim.: Ø9.9 x 59 mm. c/pno."
"","EMP.","EMP."
"","CAJA P. V.","CAJA P. V."
"","(uds.)","(uds.)"
"","10 250 PZA $2.28","10 PZA $1.77"
"Imagen referencial","PRECIO DE VENTA POR UNIDAD","Imagen referencial PRECIO DE VENTA POR UNIDAD"
"","","Marca: Nissan, Renault, Suzuki."
"AC0C000003","Marca: Nissan","AC0C000004"
"","Modelo: AD, Bluebird, Cube,","Modelo: 350Z, 370Z, Altima, Bluebird,"
"","","Cube, Juke, Maxima, Murano, Pathfinder,"
"","March, Tiida, Versa, Wingroad","Pulsar, Qashqai, Sentra, Skyline, Teana,"
"","Ubicación: Caliper delantero","Tiida, Xtrail - Koleos - Grand Vitara"
"","Grado SAE: Clase 10.9","Ubicación: Caliper posterior"
"","Dim.: Ø9.9 x 83 mm. c/rca.","Posición: L/R"
"","","Grado SAE: Clase 10.9"
"","","Dim.: Ø8.4 x 81 mm. c/rca."
"","EMP.","EMP."
"","CAJA P. V.","CAJA P. V."
"","(uds.)","(uds.)"
"","10 250 PZA $2.14","10 250 PZA $1.96"
"Imagen referencial","PRECIO DE VENTA POR UNIDAD","Imagen referencial PRECIO DE VENTA POR UNIDAD"
"116","@dinafastener","Índice"
