"LÍNEA MOTO","",""
"ESPÁRRAGO MÉTRICO RC - RC CL 8.8","ESPÁRRAGO MÉTRICO RC - RC CL 8.8",""
"DESCRIPCIÓN CÓDIGO P. V. EMP. DESCRIPCIÓN","CÓDIGO P. V. EMP.",""
"M6 X 20 A180006020 $0.32 PZA M10 X 60","A180010060 $0.84 PZA",""
"M6 X 25 A180006025 $0.40 PZA M10 X 65","A180010065 $0.91",""
"M6 X 30 A180006030 $0.48 PZA M10 X 70","A180010070 $0.98",""
"M6 X 35 A180006035 $0.50 PZA M10 X 75","A180010075 $1.05",""
"M6 X 40 A180006040 $0.51 PZA M10 X 80","A180010080 $1.12",""
"M6 X 45 A180006045 $0.55 PZA M12 X 40","A180012040 $0.73",""
"M6 X 50 A180006050 $0.64 PZA M12 X 50","A180012050 $0.77 PZA",""
"M7 X 30 A180007030 $1.14 PZA M12 X 60","A180012060 $0.79 PZA",""
"M7 X 35 A180007035 $1.23 PZA M12 X 70","A180012070 $0.85",""
"M7 X 40 A180007040 $1.29 PZA M12 X 75","A180012075 $0.93",""
"M8 X 25 A180008025 $0.34 M12 X 80","A180012080 $0.96",""
"M8 X 30 A180008030 $0.35 M14 X 50","A181014050 $0.78",""
"M8 X 35 A180008035 $0.40 M14 X 60","A181014060 $0.94",""
"M8 X 40 A180008040 $0.44 PZA M14 X 70","A181014070 $1.09",""
"M8 X 45 A180008045 $0.45 M14 X 80","A181014080 $1.35",""
"M8 X 50 A180008050 $0.50 PZA M14 X 90","A181014090 $1.79",""
"M8 X 60 A180008060 $0.58 PZA M16 X 60","A181016060 $0.99",""
"M8 X 70 A180008070 $0.80 PZA M16 X 70","A181016070 $1.05",""
"M8 X 80 A180008080 $1.07 M16 X 80","A181016080 $1.18",""
"M10 X 30 A180010030 M16 X 90","A181016090 $1.23 PZA",""
"M10 X 35 A180010035 $0.47 PZA M16 X 100","A181016100 $1.62",""
"M10 X 40 A180010040 $0.51 PZA M20 X 80","A181020080 $2.07 PZA",""
"M10 X 45 A180010045 $0.55 M20 X 90","A181020090",""
"M10 X 50 A180010050 $0.59 PZA M20 X 100","A181020100 $2.54 PZA",""
"M10 X 55 A180010055 $0.77","",""
"PRECIO DE VENTA POR PIEZA (INCLUYE IGV)","PRECIO DE VENTA POR PIEZA (INCLUYE IGV)",""
"Índice www.dina.com.pe","","21"
