PERNO HEXAGONAL PULGADA UNC - GR. 2 PAVONADO,,,,,,,
,,E2204,E2205,E2206,E2207,E2208,E2209
CÓD.,LARGO,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 9/16"""
01,"1/2""",$3.06,,,,,
,,45 CTO,,,,,
02,"5/8""",$3.23,,,,,
,,40 CTO,,,,,
03,"3/4""",$3.35,$5.66,$8.56,,,
,,40 CTO,23.5 CTO,16 CTO,,,
04,"1""",$3.65,$6.30,$9.40,$13.96,$20.06,
,,33 CTO,20 CTO,13.5 CTO,10 CTO,6.6 CTO,
05,"1 1/4""",$4.64,$8.01,$11.04,$16.41,$23.77,
,,28.5 CTO,17.5 CTO,12 CTO,8 CTO,6 CTO,
06,"1 1/2""",$4.98,$8.24,$12.24,$17.25,$24.84,$34.10
,,25 CTO,14.5 CTO,10.5 CTO,7.5 CTO,5.4 CTO,4 CTO
08,"2""",$6.53,$10.11,$15.10,$20.91,$30.14,$40.25
,,20 CTO,11 CTO,8.5 CTO,6 CTO,4.3 CTO,3.3 CTO
10,"2 1/2""",$7.84,$12.50,$18.29,$30.61,$35.02,$50.53
,,12 CTO,8.5 CTO,6.5 CTO,5 CTO,3.7 CTO,2.85 CTO
12,"3""",$10.63,$14.53,$21.78,$30.98,$42.43,$63.84
,,10 CTO,7 CTO,5.5 CTO,4 CTO,3.1 CTO,2.2 CTO
14,"3 1/2""",$10.68,$16.97,$25.49,$36.93,$49.10,$68.40
,,7.7 CTO,6.25 CTO,5 CTO,3 CTO,2.6 CTO,2 CTO
16,"4""",$12.50,$19.66,$28.77,$40.07,$55.55,$70.80
,,8 CTO,5 CTO,4 CTO,2.8 CTO,2 CTO,1.8 CTO
18,"4 1/2""",$12.72,$22.47,$32.63,$49.63,$59.18,
,,7 CTO,4.65 CTO,3.2 CTO,2.8 CTO,2.2 CTO,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,
