ARANDELA PLANA MÉTRICA - AC. INOX 304,,,,,,,,,,
,,04,05,06,08,10,12,14,16,18
CÓD.,,Ø M4,Ø M5,Ø M6,Ø M8,Ø M10,Ø M12,Ø M14,Ø M16,Ø M18
I4M1220,,$0.96,$1.06,$1.65,$3.39,$6.31,$12.39,$16.67,$21.62,$27.48
,,700 CTO,600 CTO,300 CTO,150 CTO,70 CTO,40 CTO,30 CTO,20 CTO,18 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
