ARANDELA PLANA PAVONADA - ASTM F436,,,,,,
,,08,10,12,14,16
CÓD.,,"Ø 1/2""","Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1"""
E1205,,$6.81,$13.04,$15.91,$25.88,$32.58
,,30 CTO,14 CTO,15 CTO,8 CTO,6 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
