TUERCA MARIPOSA,,
MÉTRICA,,
,,M0900
CÓD.,Ø,RC
05,Ø M5,
,,
06,Ø M6,$5.03
,,50 CTO
08,Ø M8,$5.72
,,30 CTO
10,Ø M10,$9.00
,,20 CTO
12,Ø M12,
,,
,,
