TUERCA HEXAGONAL MÉTRICA RC PAVONADO,,,,,,
CÓD.,,,,,
M0500,$14.74,$20.72,$26.48,$31.92,$43.94
,8 CTO,5.5 CTO,4.5 CTO,3 CTO,2.5 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,
