ARANDELA PLANA PULGADA - AC. INOX 304,,,,,,,,,,
,,04,05,06,07,08,10,12,14,16
CÓD.,,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1"""
I4E1210,,$3.26,$3.72,$5.18,$6.45,$12.60,$18.51,$31.90,$45.54,$65.74
,,150 CTO,120 CTO,90 CTO,60 CTO,40 CTO,25 CTO,11 CTO,8 CTO,6.5 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
