TUERCA HEXAGONAL PULGADA UNC - GR. 8 PAVONADA,,,,,,,,,,
,,05,06,07,08,09,10,12,14,16
CÓD.,,"Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 9/16""","Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1"""
E0802,,$2.97,$4.04,$7.12,$9.59,$15.02,$18.50,$29.67,$48.59,$69.66
,,55 CTO,36 CTO,20 CTO,20 CTO,10 CTO,8 CTO,5 CTO,2.5 CTO,2 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
