TUERCA HEXAGONAL PULGADA UNC - AC. INOX 304,,,,,,,,,,
,,04,05,06,07,08,10,12,14,16
CÓD.,,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1"""
I4E0220,,$5.76,$8.46,$11.46,$20.28,$26.67,$53.97,$90.86,$150.77,$218.23
,,90 CTO,50 CTO,40 CTO,22 CTO,15 CTO,6 CTO,4 CTO,3 CTO,1.5 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
