TUERCA ESTRUCTURAL GALVANIZADO HDG - ASTM A325,,,,,,
,,08,10,12,14,16
CÓD.,,"Ø 1/2""","Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1"""
A1586,,,$32.89,$56.77,$80.57,$117.10
,,,5 CTO,2.5 CTO,2 CTO,1.3 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,
