$17.51,$18.53,$21.94,$23.18,,,,,,
,$21.09,$24.21,$27.47,$37.29,,,,,
,$21.52,$26.81,$27.95,$40.67,,,,,
,$21.66,$28.97,$29.41,$40.80,$57.40,,,,
,$23.42,$31.06,$34.36,$46.83,$64.71,,,,
,$24.18,$33.34,$36.67,$48.04,$65.43,$87.45,,,
,$28.78,$40.18,$41.38,$56.09,$77.08,$108.94,$124.08,,
,$32.60,$44.86,$48.39,$63.27,$90.42,,,,
,$36.50,$50.28,$54.22,$70.40,$96.31,,$163.10,,
,$39.93,$56.01,$59.25,$77.95,$111.43,,,,
,$44.66,$61.25,$63.01,$85.08,$115.23,$148.39,$185.86,,
