$1.32,,,
$1.46,$2.04,$2.69,$3.88
$2.04,$2.40,$2.88,$3.95
,$3.47,$3.86,$6.10
,$4.11,$4.93,$6.87
,,,$11.80
,,,$13.71
,,,$14.62
