$11.88,$15.66,,
$12.30,$16.41,,
$12.65,$17.09,$23.71,$81.74
$12.91,$18.10,$26.48,$72.71
$15.21,$21.49,$29.23,
$15.79,$22.86,$32.07,$83.59
$18.37,$25.35,$36.17,$85.95
,,$40.64,
