$69.17,
$76.98,
$85.63,$62.60
$97.10,$72.30
$106.67,$80.96
$117.49,$92.43
$126.43,$101.98
$148.10,$121.73
$164.06,$143.84
$188.27,$159.82
$208.66,$184.12
