PERNO DE RUEDA,,,,,
,CÓDIGO,"EMP.
(uds.)",CAJA,"P. V.
CL. 10.9","P. V.
CL. 12.9"
,,,,,
SOLO,AA/A050528,25,100 PZA,$0.48,
COMP.,AA/A020528,25,JGO,$0.85,
