PERNO Y TUERCA PARA TRACTOR PULGADA UNF,,,
Ø,CÓDIGO,P. V.,EMP.
Arrastre 5/8” X 2” Gr. 8,A050090,$1.68,100 PZA
Tuerca para Tractor (D-300),A010012,$1.07,480 PZA
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,
