BUJE Y EJE DE PEDAL,,,,,
DESCRIPCIÓN,CÓDIGO,P. V.,EMP.,"Ø EXT.
(mm.)","LARGO
(mm.)"
Eje Pedal de Freno c/Pasador,BM095220,$0.04,100 PZA,16.50,157.50
"Buje de Bocamaza CG 3/8"" completo",BM095224,$0.13,100 JGO,24.00,17.00
"Buje de Bocamaza GL 3/8"" completo",BM095228,$0.13,100 PZA,28.00,19.80
PRECIO DE VENTA POR PIEZA (INCLUYE IGV),,,,,
