GRASERA RECTA,,,,
CÓDIGO,ROSCA,"EMP.
(uds.)",CAJA,P. V.
N150400,"1/4"" NF",4000,40 CTO,$7.47
N150500,"5/16"" NF",4000,40 CTO,$11.46
N150600,"3/8"" NF",3000,30 CTO,$17.87
N130600,M 6 x 1.00,4000,40 CTO,$7.59
N130800,M8 x 1.00,4000,40 CTO,$11.94
N131000,M10 x 1.00,4000,40 CTO,$14.81
N140200,"1/8"" NPT",4000,40 CTO,$26.56
N140400,"1/4"" NPT",2000,20 CTO,$30.92
N150495,"1/4"" NF EXTRA
LARGA
P./CARDÁN",800,8 CTO,$13.23
PRECIO DE VENTA POR CIENTO (INC. IGV),,,,
