ESPÁRRAGO MÉTRICO RF - RF CL 8.8,,,,
CÓDIGO,DESCRIPCIÓN,"EMP.
(uds.)","CAJA
(uds.)",P. V.
A183010030,M10 X 30,25,,$0.38
A183010040,M10 X 40,25,0,$0.51
A183010050,M10 X 50,25,0,$0.60
A183010060,M10 X 60,25,,$0.73
A183010070,M10 X 70,25,,$0.86
A183010080,M10 X 80,25,,$0.96
A183012040,M12 X 40,25,,$0.71
A183012050,M12 X 50,25,,$0.89
A183012060,M12 X 60,25,,$0.91
A183012070,M12 X 70,25,,$1.06
A183012080,M12 X 80,25,,$1.22
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,
