PERNO DE RUEDA,,,,,
,"CÓDIGO
COMPLETO R/L","EMP.
(uds.)",CAJA,"P. V.
CL. 10.9","P. V.
CL. 12.9"
,,,,,
SOLO,AA/A050568/69,25,400 PZA,$0.94,
COMP.,AA/A020568/69,25,JGO,$1.77,
