PERNO CENTRAL MÉTRICO CL 8.8,,,,,,,,
CÓDIGO,MEDIDA,"EMP.
(uds.)",CAJA,P. V.,CÓDIGO,EMP. (uds.),CAJA,P. V.
A378030,M10 X 1.50 X 152,5,200 PZA,$1.12,A379030,5,200 PZA,$1.12
A378040,M10 X 1.50 X 203,5,150 PZA,$1.43,A379040,5,150 PZA,$1.43
A378050,M10 X 1.50 X 254,5,120 PZA,$1.83,A379050,5,120 PZA,$1.83
A378240,M12 X 1.50 X 203,5,100 PZA,$2.41,A379240,5,100 PZA,$2.41
A378250,M12 X 1.50 X 254,5,110 PZA,$2.61,A379250,5,110 PZA,$2.61
A378260,M12 X 1.50 X 304,5,100 PZA,$2.88,A379260,5,100 PZA,$2.88
A378270,M12 X 1.50 X 355,5,80 PZA,$3.63,A379270,5,80 PZA,$3.63
,M16 X 1.50 X 315,,,,,,,
,M16 X 1.50 X 360,,,,,,,
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,,,,
