PERNO SOPORTE MOTOR CLASE 8.8,,,
DESCRIPCIÓN,"CÓDIGO
COMPLETO","P. V.
COMPLETO",EMP.
M10 x 1.3 x 115,BM105512,$0.06,100 JGO
M10 x 1.3 x 165,BM105516,$0.06,100 JGO
M10 x 1.3 x 220,BM105522,$0.06,100 JGO
PRECIO DE VENTA POR PIEZA (INCLUYE IGV),,,
