PERNO DE CARDAN MÉTRICO,,,,,
CÓDIGO,ROSCA,"L
(mm.)","EMP.
(uds.)",CAJA,P. V.
A391032,M10 X 1.25,32,250,9.25 CTO,$30.27
A391035,M10 X 1.25,35,250,8.6 CTO,$37.35
A391038,M10 X 1.25,38,250,"0.068
CTO",$37.57
A391238,M12 X 1.50,38,250,5.6 CTO,$53.17
A391447,M14 X 1.50,47,250,,
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,
