GRASERA 90°,,,,
CÓDIGO,ROSCA,"EMP.
(uds.)",CAJA,P. V.
N150490,"1/4"" NF",3000,30 CTO,$19.61
N150590,"5/16"" NF",3000,30 CTO,$20.61
N150690,"3/8"" NF",2500,25 CTO,$28.21
N130690,M 6 x 1.00,3000,30 CTO,$18.51
N130890,M8 x 1.00,3000,30 CTO,$21.43
N131090,M10 x 1.00,2500,25 CTO,$20.71
N140290,"1/8"" NPT",2400,24 CTO,$21.43
N140490,"1/4"" NPT",1000,10 CTO,$47.65
PRECIO DE VENTA POR CIENTO (INC. IGV),,,,
