,90 CTO,56 CTO,,,,,,
,,,,,,,,
,70 CTO,48 CTO,22 CTO,,,,,
,60 CTO,40 CTO,20 CTO,,,,,
,50 CTO,36 CTO,17 CTO,10 CTO,,,,
,40 CTO,30 CTO,16 CTO,8 CTO,6 CTO,,,
,,,14 CTO,,,,,
,,25 CTO,13 CTO,7.5 CTO,5 CTO,,2.5 CTO,
,,,,,,,,
,,,,6.5 CTO,4.5 CTO,,2.5 CTO,
,,,,5.5 CTO,3.25 CTO,,2 CTO,
,,,,5 CTO,3 CTO,,2 CTO,1 CTO
