30 MLL,40 MLL,,,,
16 MLL,35 MLL,,,,
30 MLL,18 MLL,12 MLL,,,
16 MLL,20 MLL,16 MLL,8 MLL,,
,10 MLL,8 MLL,8 MLL,,
,10 MLL,4 MLL,6 MLL,,
,12 MLL,7 MLL,4 MLL,,
,4 MLL,5 MLL,4 MLL,,4 MLL
,,6 MLL,3 MLL,,2 MLL
,,,,,
,,,,,2 MLL
,,,,,
