TUERCA HEXAGONAL MÉTRICA RC - AC. INOX 304,,,,,,,,
,,06,08,10,12,16,20,24
CÓD.,,Ø M6,Ø M8,Ø M10,Ø M12,Ø M16,Ø M20,Ø M24
I4M0220,,$5.73,$12.24,$26.54,$40.07,$85.60,$136.84,$246.94
,,100 CTO,50 CTO,24 CTO,15 CTO,8 CTO,4 CTO,2.5 CTO
ARANDELA PLANA MÉTRICA - AC. INOX 304,,,,,,,,
,,06,08,10,12,16,20,24
CÓD.,,Ø M6,Ø M8,Ø M10,Ø M12,Ø M16,Ø M20,Ø M24
I4M1220,,$1.65,$3.39,$6.31,$12.39,$21.62,$31.74,$38.82
,,300 CTO,150 CTO,70 CTO,40 CTO,20 CTO,14 CTO,8 CTO
ARANDELA PRESIÓN MÉTRICA - AC. INOX 304,,,,,,,,
,,06,08,10,12,16,20,24
CÓD.,,Ø M6,Ø M8,Ø M10,Ø M12,Ø M16,Ø M20,Ø M24
I4M1420,,$1.94,$3.63,$5.32,$8.94,$20.31,$37.32,$64.98
,,200 CTO,130 CTO,80 CTO,50 CTO,25 CTO,15 CTO,8 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
