BARRA ROSCADA MÉTRICA UNC 1.00 - AC. INOX 304,,,,,,,,
,,06,08,10,12,16,20,24
CÓD.,,Ø M6,Ø M8,Ø M10,Ø M12,Ø M16,Ø M20,Ø M24
I4M2800,,$2.87,$4.13,$6.48,$9.45,$19.25,$29.97,$43.24
,,100 PZA,50 PZA,25 PZA,15 PZA,5 PZA,3 PZA,1 PZA
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,
