CABLE MM2 THW-90 (7 HILOS) - ROLLO DE 100 M.,,,,
,,FCMM9015,FCMM9025,FCMM9040
CÓD.,COLOR,#1.5 mm2,#2.5 mm2,#4.0 mm2
NE,NEGRO,$43.62,$70.38,$115.25
,,RLL,RLL,RLL
BL,BLANCO,$43.62,$70.38,$115.25
,,RLL,PZA,RLL
AM,AMARILLO,$43.62,$70.38,$115.25
,,RLL,RLL,RLL
AZ,AZUL,$43.62,$70.38,$115.25
,,RLL,RLL,RLL
RO,ROJO,$43.62,$70.38,$115.25
,,RLL,RLL,RLL
PRECIO DE VENTA POR ROLLO (INCLUYE IGV),,,,
