TUERCA HEXAGONAL PULGADAS,,,,,,,,,,,
PAVONADA,,,,,,,,CINCADA,,,
,,E0200,E0500,E0800,E0202,E0502,E0802,,,E02,E0206
CÓD.,Ø,UNC - GR. 2,UNC - GR. 5,UNC - GR. 8,UNF - GR. 2,UNF - GR. 5,UNF - GR. 8,CÓD.,Ø,UNC - GR. 2,UNF - GR. 2
04,"1/4""",$1.39,$1.73,,,,,0304,"1/4""",$1.55,
,,80 CTO,58 CTO,,,,,,,80 CTO,
05,"5/16""",$2.04,$2.62,$2.62,$2.25,,$2.97,0305,"5/16""",$2.31,
,,50 CTO,50 CTO,50 CTO,50 CTO,,55 CTO,,,50 CTO,
06,"3/8""",$3.06,$3.66,$3.96,$3.06,,$4.04,0306,"3/8""",$3.43,
,,35 CTO,36 CTO,36 CTO,36 CTO,,36 CTO,,,35 CTO,
07,"7/16""",$5.64,$6.73,$6.99,$5.66,,$7.12,0307,"7/16""",$6.40,
,,20 CTO,20 CTO,20 CTO,20 CTO,,20 CTO,,,20 CTO,
08,"1/2""",$7.26,$8.37,$9.13,$7.33,,$9.59,0308,"1/2""",$8.09,
,,16 CTO,15 CTO,15 CTO,15 CTO,,20 CTO,,,15 CTO,
09,"9/16""",$11.40,$13.79,$14.84,$12.14,,$15.02,0409,"9/16""",$11.40,
,,9.5 CTO,10 CTO,9.5 CTO,10 CTO,,10 CTO,,,2 CTO,
10,"5/8""",$14.54,$16.69,$18.27,$15.05,,$18.50,0310,"5/8""",$15.72,
,,8 CTO,8 CTO,8 CTO,8 CTO,,8 CTO,,,8 CTO,
12,"3/4""",$23.08,$28.32,$28.33,$22.66,,$29.67,0312,"3/4""",$25.49,
,,5 CTO,5 CTO,5 CTO,5 CTO,,5 CTO,,,5 CTO,
14,"7/8""",$37.67,$43.64,$47.24,$38.53,,$48.59,0314,"7/8""",$42.88,
,,3 CTO,3 CTO,3 CTO,3 CTO,,2.5 CTO,,,3 CTO,
16,"1""",$53.82,$63.05,$69.63,$57.36,,$69.66,0316,"1""",$60.09,
,,2 CTO,2 CTO,2 CTO,2 CTO,,2 CTO,,,2 CTO,
20,"1 1/8""",$98.93,,$108.86,$95.00,,$241.86,0420,"1 1/8""",$110.97,
,,1.3 CTO,,1 CTO,1 CTO,,1 CTO,,,1.3 CTO,
22,"1 1/4""",$131.45,,$155.26,$131.09,,$282.20,0422,"1 1/4""",$144.15,
,,0.9 CTO,,1 CTO,1 CTO,,1 CTO,,,0.9 CTO,
24,"1 3/8""",$188.41,,,,,,0424,"1 3/8""",$203.51,
,,0.8 CTO,,,,,,,,0.8 CTO,
26,"1 1/2""",$224.96,,$261.85,,,$511.05,0426,"1 1/2""",$245.66,
,,0.55 CTO,,0.6 CTO,,,0.6 CTO,,,0.55 CTO,
28,"1 3/4""",$376.42,,,,,,0428,"1 3/4""",$421.02,
,,0.25 CTO,,,,,,,,0.25 CTO,
30,"2""",$534.27,,$610.85,,,,0430,"2""",$624.54,
,,0.25 CTO,,0.25 CTO,,,,,,0.25 CTO,
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,,
