BARRA ROSCADA PULGADA UNC 1.00 m - AC. INOX 304,,,,,,,,,,
,,04,05,06,07,08,10,12,14,16
CÓD.,,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1"""
I4E2820,,$2.75,$4.43,$6.54,,$11.88,$18.86,$27.61,$37.94,$49.41
,,100 PZA,50 PZA,25 PZA,,20 PZA,10 PZA,5 PZA,5 PZA,3 PZA
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
