BARRA ROSCADA PULGADA UNC 3.66 m - AC. INOX 304,,,,,,,,,,
,,04,05,06,07,08,10,12,14,16
CÓD.,,"Ø 1/4""","Ø 5/16""","Ø 3/8""","Ø 7/16""","Ø 1/2""","Ø 5/8""","Ø 3/4""","Ø 7/8""","Ø 1"""
I4E2840,,$9.85,$14.79,$22.51,,$41.08,$64.14,$94.80,$134.37,$175.78
,,1 PZA,1 PZA,1 PZA,,1 PZA,1 PZA,1 PZA,1 PZA,1 PZA
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,,,,,,,
