ESPÁRRAGO MÉTRICO RF - RF CL 8.8,,,,
CÓDIGO,DESCRIPCIÓN,"EMP.
(uds.)","CAJA
(uds.)",P. V.
A183014050,M14 X 50,25,,$0.78
A183014060,M14 X 60,25,,$0.93
A183014070,M14 X 70,25,,$1.42
A183014080,M14 X 80,25,,$1.62
A183014090,M14 X 90,25,,$1.82
A183016060,M16 X 60,25,,$0.99
A183016070,M16 X 70,25,,$1.16
A183016080,M16 X 80,25,,$1.32
A183016090,M16 X 90,25,,$1.49
A183016100,M16 X 100,25,,$1.65
,,,,
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,
