PERNO-T P./ARO TRILEX CLASE 8.8 - SOLO,,,,,
CÓDIGO,ROSCA,"L
(mm.)","EMP.
(uds.)",CAJA,P. V.
A280009,M20 x 2.00,70,5,60 PZA,$1.94
A280011,M20 x 2.00,80,5,60 PZA,$2.10
A280012,M20 x 2.00,90,5,60 PZA,$2.42
A280013,M20 x 2.00,100,5,60 PZA,$2.58
A280014,M20 x 2.00,110,5,55 PZA,$2.78
A280016,M20 x 2.00,125,5,55 PZA,$3.01
A280018,M20 x 2.00,150,5,55 PZA,$3.33
PRECIO DE VENTA POR UNIDAD (INC. IGV),,,,,
