PERNO DE RUEDA,,,,,
,CÓDIGO,"EMP.
(uds.)",CAJA,"P. V.
CL. 10.9","P. V.
CL. 12.9"
,,,,,
SOLO,AA/A050535,25,400 PZA,$0.65,
COMP.,AA/A020535,25,JGO,$0.85,
