PERNO DE RUEDA,,,,,
,CÓDIGO R/L,"EMP.
(uds.)",CAJA,"P. V.
CL. 10.9","P. V.
CL. 12.9"
,,,,,
SOLO,AA/A050510/11,25,100 PZA,$2.34,
COMP.,AA/A020510/11,25,JGO,$3.25,
