PERNO DE RUEDA,,,,,
,CÓDIGO,"EMP.
(uds.)",CAJA,"P. V.
CL. 10.9","P. V.
CL. 12.9"
,,,,,
SOLO,AA/A050514,25,400 PZA,$0.76,
COMP.,AA/A020514,25,JGO,$1.50,
