PERNO DE RUEDA,,,,,
,CÓDIGO,"EMP.
(uds.)",CAJA,"P. V.
CL. 10.9","P. V.
CL. 12.9"
,,,,,
SOLO,AA/A050532,25,500 PZA,$0.59,
COMP.,AA/A020532,25,JGO,$0.79,
