PERNO DE RUEDA,,,,,
,"CÓDIGO
COMPLETO R/L","EMP.
(uds.)",CAJA,"P. V.
CL. 10.9","P. V.
CL. 12.9"
,,,,,
SOLO,AA/A050512/13,25,150 PZA,$1.71,
COMP.,AA/A020512/13,25,JGO,$2.78,
