PER5⁄8N”O -  1D8E RUEDA,,,,,
"",CÓDIGO,"EMP.(uds.)",CAJA,"P. V.CL. 10.9","P. V.CL. 12.9"
"",,,,,
SOLO,AA/A050522,25,150 PZA,$1.23,
COMP.,AA/A020522,25,JGO,$2.17,
