"STOVE BOLT MÉTRICO CAB. FLAT PHILLIPS",,,,
,,M7305,M7306,M7308
CÓD.,LARGO,Ø M5,Ø M6,Ø M8
06,5,$18.49,,
,,13.5 MLL,,
08,10,$22.96,$30.46,
,,10.8 MLL,6 MLL,
10,12,$26.95,$33.84,$73.80
,,9.1 MLL,5 MLL,3 MLL
12,16,$32.31,$47.90,$84.87
,,7.5 MLL,4 MLL,2.5 MLL
15,20,,$54.45,$98.46
,,,2.5 MLL,2.5 MLL
17,25,,,$113.93
,,,,2 MLL
PRECIO DE VENTA POR MILLAR (INCLUYE IGV),,,,
