"PERNO FLANGE MÉTRICO RC - CL. 5.8
TROPICALIZADO",,,,
,,M3005,M3006,M3008
CÓD.,LARGO,Ø M5,Ø M6,Ø M8
05,10,$2.19,,
,,80 CTO,,
06,12,$2.40,$3.96,
,,74 CTO,45 CTO,
07,15,,$4.22,
,,,40 CTO,
08,15,,,$7.92
,,,,20 CTO
10,20,,$4.85,$8.44
,,,32 CTO,18 CTO
12,25,,$5.35,$9.37
,,,30 CTO,16 CTO
15,30,,$5.91,$10.30
,,,24 CTO,15 CTO
17,35,,,$11.46
,,,,13 CTO
20,40,,$6.80,$11.93
,,,21 CTO,12 CTO
25,50,,,$14.71
,,,,9 CTO
PRECIO DE VENTA POR CIENTO (INCLUYE IGV),,,,
