"ÍNDICE INTERACTIVO","",""
"LÍNEA TORNILLERÍA","81",""
"ARANDELA DE NEOPRENO PULGADA","93",""
"AUTORROSCANTE CAB. HEXAGONAL RANURADA","93",""
"TORNILLO DRYWALL CORNETA","94",""
"TORNILLO CAB. WAFER ZINCADO","94",""
"TORNILLO DRYWALL TRONCO CÓNICO","94",""
"LÍNEA ALLEN","101",""
"PERNO SOCKET PULGADA CAB. CILÍNDRICA UNC - GR. 8","103",""
"PERNO SOCKET MÉTRICO CAB. CILÍNDRICA RC - GR. 8","105",""
"PERNO SOCKET PULGADA CAB. AVELLANADA UNC - GR. 8","107",""
"PERNO SOCKET MÉTRICO CAB. AVELLANADA RC - CL. 10.9","107",""
"PERNO SOCKET PULGADA CAB. BUTTON UNC - GR. 8","108",""
"PERNO SOCKET MÉTRICO CAB. BUTTON RC - CL. 10.9","108",""
"PRISIONERO ALLEN PULGADA UNC - GR. 8","109",""
"PRISIONERO ALLEN MÉTRICO RC - CL. 14.9","110",""
"LÍNEA SUJECIÓN Y ANCLAJE","111",""
"PERNO DE EXPANSIÓN","113",""
"TACO DE EXPANSIÓN ESTRIADO PULGADA UNC","114",""
"BARRA ROSCADA PULGADA UNC ZINCADA","115",""
"TUERCA DE ACOPLE PULGADA UNC","115",""
"FIJACIONES PARA CALAMINA","116",""
"TUERCA HEXAGONAL PULGADA ZINCADA - GR. 2","116",""
"TAPA SUJETADORA PARA CALAMINA","116",""
"LÍNEA PERNERÍA ESTRUCTURAL","117",""
"PERNO ESTRUCTURAL PAVONADO - ASTM A325","119",""
"PERNO ESTRUCTURAL GALVANIZADO HDG - ASTM A325","121",""
"TUERCA ESTRUCTURAL - ASTM A325","122",""
"ARANDELA PLANA - ASTM A325","123",""
"BARRA ROSCADA ESTRUCTURAL UNC - ASTM 193 B7","124",""
"LÍNEA CABLES ELÉCTRICOS","125",""
"CABLE TWF-80 GPT AUTOMOTRIZ - ROLLO DE 100 M.","127",""
"CABLE THW-90 (7 HILOS) - ROLLO DE 100 M.","127",""
"CABLE MM2 THW-90 (7 HILOS) - ROLLO DE 100 M.","128",""
"ALAMBRE TW-90 AWG - ROLLO DE 100 M.","128",""
"CABLE MELLIZO TFM-70 - ROLLO DE 100 M.","128",""
"CABLE FLEXIBLE NLT VULCANIZADO - ROLLO DE 100 M.","129",""
"CANALETA 100% PVC - DINAPLAST","129",""
"MANGUERA CORRUGADA","129",""
"www.dina.com.pe","","7"
