"","","","LÍNEA INDUSTRIAL","",""
"","","","TUERCAS CON SEGURO PULGADAS","",""
"","","","NYLON PULGADA PRISIONERA PULGADA","",""
"","","","E0100 E0102 E0110","",""
"","CÓD.","Ø","UNC UNF CÓD. Ø UNC","",""
"","","","$2.38 $3.89","",""
"","04","Ø 1/4""","04 Ø 1/4""","",""
"","","","66.5 CTO 83 CTO","",""
"","","","$3.33","",""
"","05","Ø 5/16""","05 Ø 5/16""","",""
"","","","50 CTO","",""
"","","","$5.37 $5.48 $8.43","",""
"","06","Ø 3/8""","06 Ø 3/8""","",""
"","","","30 CTO 30 CTO 30 CTO","",""
"","","","$6.91 $6.68","",""
"","07","Ø 7/16""","07 Ø 7/16""","",""
"","","","17 CTO 25 CTO","",""
"","","","$12.91 $13.72 $19.84","",""
"","08","Ø 1/2""","08 Ø 1/2""","",""
"","","","12.5 CTO 12.5 CTO 14 CTO","",""
"","","","$18.81 $20.28","",""
"","09","Ø 9/16""","09 Ø 9/16""","",""
"","","","8 CTO 8 CTO","",""
"","","","$26.41 $26.86 $36.66","",""
"","10","Ø 5/8""","10 Ø 5/8""","",""
"","","","6 CTO 6 CTO 8 CTO","",""
"","","","$35.31 $36.51 $65.44","",""
"","12","Ø 3/4""","12 Ø 3/4""","",""
"","","","4 CTO 4 CTO 4.5 CTO","",""
"","","","$56.56 $57.96","",""
"","14","Ø 7/8""","14 Ø 7/8""","",""
"","","","2.5 CTO 2 CTO","",""
"","","","$85.47 $85.55 $151.36","",""
"","16","Ø 1""","16 Ø 1""","",""
"","","","2 CTO 2 CTO 1.9 CTO","",""
"","6216","Ø 1"" - 12 H/P","6216 Ø 1"" - 12 H/P","",""
"","","","$135.74","",""
"","20","Ø 1 1/8""","20 Ø 1 1/8""","",""
"","","","1 CTO","",""
"","","","$201.15","",""
"","22","Ø 1 1/4""","22 Ø 1 1/4""","",""
"","","","0.8 CTO","",""
"","","","$352.67","",""
"","26","Ø 1 1/2""","26 Ø 1 1/2""","",""
"","","","0.5 CTO","",""
"","","","PRECIO DE VENTA POR CIENTO (INCLUYE IGV)","",""
"80","","","@dinafastener","Índice","80"
